run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
0,Random Uniform 1.0,Imperfect Communication,w Timestamp,0.0,500.0,DSA_ASY,0.7,493,6.0,1.0,8.0,0.0,3.0,16.0,5.0,5.0,2.0,1.0,1.0
1,Random Uniform 1.0,Imperfect Communication,w Timestamp,0.0,500.0,DSA_ASY,0.7,492,23.0,0.0,5.0,0.0,3.0,16.0,15.0,4.0,18.0,1.0,1.0
2,Random Uniform 1.0,Imperfect Communication,w Timestamp,0.0,500.0,DSA_ASY,0.7,494,7.0,1.0,10.5,0.0,2.0,12.0,6.0,5.0,3.5,1.0,1.0
0,Random Uniform 1.0,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,499,8.0,1.0,7.0,0.0,16.0,102.0,3.0,9.0,1.0,1.0,1.0
1,Random Uniform 1.0,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,499,4.0,1.0,4.0,4.0,17.0,116.0,3.0,3.0,0.0,1.0,1.0
2,Random Uniform 1.0,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,498,4.0,1.0,4.0,0.0,19.0,104.0,3.0,3.0,0.0,1.0,1.0
0,Random Uniform 1.0,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,472,11.0,1.0,5.0,0.0,7.0,44.0,9.0,4.0,6.0,1.0,1.0
1,Random Uniform 1.0,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,483,3.0,1.0,8.5,0.0,7.0,44.0,2.0,11.0,5.5,1.0,1.0
2,Random Uniform 1.0,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,499,6.0,1.0,6.5,0.0,6.0,34.0,5.0,6.0,0.5,1.0,1.0
