DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,0,12176.0,1.0,0.0,0.0,0.0,0.0,460.8,0.0,12176.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,100,11447.2,0.7,634.4,5607.5,0.4,485.0,477.5,4.9,10812.8,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,200,11283.7,0.7,1315.9,5444.1,1.4,485.0,416.4,42.9,9967.8,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,300,11473.1,0.7,2042.2,5424.5,2.5,485.0,415.5,66.6,9430.9,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,400,11470.1,0.9,2853.3,5395.1,3.6,485.0,391.7,119.0,8616.8,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,500,11693.4,0.7,3780.65,5383.7,4.6,485.0,402.7,138.4,7912.75,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,600,11476.2,0.9,4738.55,5358.4,4.8,485.0,377.7,189.5,6737.65,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,700,11413.5,0.6,5669.85,5304.8,5.6,485.0,375.5,201.2,5743.65,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,800,11576.5,0.7,6663.25,5304.8,6.0,485.0,408.5,247.9,4913.25,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,900,11670.9,0.8,7638.3,5304.8,7.1,485.0,415.2,280.1,4032.6,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1000,11737.1,0.8,8713.05,5304.8,8.1,485.0,474.9,322.2,3024.05,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1100,11737.1,0.8,8713.05,5304.8,8.1,485.0,474.9,322.2,3024.05,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1200,11598.8,0.8,8723.6,5304.8,8.2,889.3,475.0,323.6,2875.2,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1300,11470.3,0.8,8535.7,5304.8,8.7,1943.7,435.6,302.5,2934.6,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1400,11183.4,0.8,8535.35,5154.2,9.3,3425.0,420.3,303.2,2648.05,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1500,11241.7,0.8,8389.6,5090.9,9.9,3916.0,435.4,290.7,2852.1,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1600,11198.3,0.9,8279.15,5032.1,10.4,4435.8,430.3,310.0,2919.15,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1700,11533.4,0.9,8183.15,5032.1,10.6,4435.8,437.0,307.8,3350.25,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1800,11487.2,0.9,8106.8,5032.1,11.1,5528.4,414.1,304.6,3380.4,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,1900,11688.9,1.0,8040.8,5032.1,11.4,5528.4,422.2,304.6,3648.1,1.0,1.0
