DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Anytime top agents best context cost,Anytime Cost,Contexts of all agents reported
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,31,33.0,1.0,33.0,33.0,0.0,192.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,32,33.0,1.0,33.0,33.0,0.0,198.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,33,33.0,1.0,33.0,33.0,0.0,204.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,34,33.0,1.0,33.0,33.0,0.0,210.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,35,33.0,1.0,33.0,33.0,0.0,216.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,36,33.0,1.0,33.0,33.0,0.0,222.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,37,33.0,1.0,33.0,33.0,0.0,228.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,38,33.0,1.0,33.0,33.0,0.0,234.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,39,33.0,1.0,33.0,33.0,0.0,240.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,40,33.0,1.0,33.0,33.0,0.0,246.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,41,33.0,1.0,33.0,33.0,0.0,252.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,42,33.0,1.0,33.0,33.0,0.0,258.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,43,33.0,1.0,33.0,33.0,0.0,264.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,44,33.0,1.0,33.0,33.0,0.0,270.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,45,59.0,0.0,38.0,33.0,0.0,276.0,54.0,38.0,21.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,46,38.0,1.0,48.5,33.0,0.0,282.0,33.0,33.0,10.5,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,47,38.0,1.0,38.0,33.0,0.0,288.0,33.0,33.0,0.0,33.0,33.0,3.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,48,38.0,1.0,38.0,33.0,0.0,294.0,33.0,33.0,0.0,33.0,33.0,5.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SDP_ASY,,49,33.0,1.0,35.5,33.0,0.0,300.0,33.0,33.0,2.5,33.0,33.0,5.0
