run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
0,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99912,6124.0,1.0,6124.0,0.0,264.0,156459.0,319.0,319.0,0.0,1.0,1.0
1,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99371,7222.0,1.0,6762.0,6805.0,249.0,148704.0,89.0,89.0,460.0,1.0,1.0
2,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99545,6569.0,1.0,6337.0,6328.0,261.0,137024.0,141.0,141.0,232.0,1.0,1.0
3,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99993,6316.0,1.0,6357.0,6288.0,253.0,136331.0,331.0,331.0,41.0,1.0,1.0
4,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99999,5886.0,1.0,5677.5,0.0,333.0,155048.0,549.0,373.0,208.5,1.0,1.0
5,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99320,7566.0,1.0,7312.5,0.0,168.0,148708.0,235.0,235.0,253.5,1.0,1.0
6,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99998,6605.0,1.0,6567.0,0.0,191.0,121399.0,114.0,114.0,38.0,1.0,1.0
7,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99997,6661.0,1.0,6661.0,6661.0,122.0,134445.0,283.0,283.0,0.0,1.0,1.0
8,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99998,7746.0,1.0,7746.0,0.0,309.0,155733.0,313.0,313.0,0.0,1.0,1.0
9,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,1000.0,DSA_ASY,0.7,99994,6478.0,1.0,6457.0,6420.0,213.0,146228.0,196.0,196.0,21.0,1.0,1.0
0,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99920,6270.0,1.0,6270.0,6270.0,375.0,179814.0,357.0,357.0,0.0,1.0,1.0
1,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99877,6980.0,1.0,6980.0,6980.0,310.0,165838.0,123.0,123.0,0.0,1.0,1.0
2,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99885,6412.0,1.0,6412.0,6412.0,348.0,167651.0,172.0,172.0,0.0,1.0,1.0
3,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99914,6033.0,1.0,6033.0,6031.0,313.0,156563.0,318.0,318.0,0.0,1.0,1.0
4,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99893,5737.0,1.0,5737.0,5737.0,401.0,165449.0,284.0,284.0,0.0,1.0,1.0
5,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99621,7474.0,1.0,7474.0,7474.0,253.0,173681.0,263.0,263.0,0.0,1.0,1.0
6,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99551,6548.0,1.0,6548.0,6548.0,249.0,161745.0,61.0,61.0,0.0,1.0,1.0
7,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99800,7039.0,1.0,7039.0,7039.0,194.0,163861.0,257.0,257.0,0.0,1.0,1.0
8,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99487,7426.0,1.0,7426.0,7426.0,321.0,178438.0,166.0,166.0,0.0,1.0,1.0
9,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99512,6821.0,1.0,6821.0,6821.0,288.0,173000.0,190.0,190.0,0.0,1.0,1.0
0,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,500.0,DSA_ASY,0.7,99988,6514.0,1.0,6514.0,6458.0,250.0,150034.0,284.0,284.0,0.0,1.0,1.0
1,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,500.0,DSA_ASY,0.7,99957,7007.0,1.0,7007.0,7007.0,232.0,135584.0,197.0,197.0,0.0,1.0,1.0
2,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,500.0,DSA_ASY,0.7,99865,6471.0,1.0,6471.0,6471.0,254.0,137141.0,126.0,126.0,0.0,1.0,1.0
3,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,500.0,DSA_ASY,0.7,99716,6182.0,1.0,6182.0,6182.0,253.0,128106.0,413.0,413.0,0.0,1.0,1.0
4,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,500.0,DSA_ASY,0.7,99651,5776.0,1.0,5776.0,5776.0,354.0,144273.0,299.0,299.0,0.0,1.0,1.0
5,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,500.0,DSA_ASY,0.7,99899,7048.0,1.0,7048.0,0.0,175.0,154012.0,214.0,214.0,0.0,1.0,1.0
