DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,1,2059.0,0.0,0.0,0.0,0.0,80.0,391.0,0.0,2059.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,2,1811.0,1.0,1921.5,0.0,0.0,154.0,387.0,391.0,110.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,3,1495.0,1.0,1493.0,0.0,0.0,270.0,347.0,324.0,2.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,4,1444.0,1.0,1423.5,0.0,0.0,343.0,403.0,295.0,20.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,5,1487.0,0.0,1354.5,0.0,0.0,415.0,399.0,333.0,132.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,6,1385.0,1.0,1309.0,0.0,0.0,505.0,354.0,296.0,76.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,7,1369.0,1.0,1377.0,0.0,0.0,585.0,338.0,338.0,8.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,8,1333.0,1.0,1331.0,0.0,0.0,676.0,280.0,338.0,2.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,9,1302.0,1.0,1317.5,0.0,0.0,783.0,324.0,280.0,15.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,10,1302.0,1.0,1302.0,0.0,0.0,865.0,324.0,324.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,11,1254.0,1.0,1293.0,0.0,0.0,936.0,262.0,324.0,39.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,12,1252.0,1.0,1253.0,0.0,0.0,1026.0,275.0,262.0,1.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,13,1189.0,1.0,1219.0,0.0,0.0,1116.0,279.0,275.0,30.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,14,1189.0,1.0,1189.0,0.0,0.0,1224.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,15,1189.0,1.0,1189.0,0.0,0.0,1305.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,16,1189.0,1.0,1189.0,0.0,0.0,1377.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,17,1189.0,1.0,1189.0,0.0,0.0,1494.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,18,1189.0,1.0,1189.0,0.0,0.0,1593.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,19,1189.0,1.0,1189.0,0.0,0.0,1665.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,20,1189.0,1.0,1189.0,0.0,0.0,1764.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,21,1189.0,1.0,1189.0,0.0,0.0,1845.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,22,1189.0,1.0,1189.0,0.0,0.0,1917.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,23,1189.0,1.0,1189.0,0.0,0.0,2053.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,24,1189.0,1.0,1189.0,0.0,0.0,2124.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,25,1189.0,1.0,1189.0,0.0,0.0,2205.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,26,1189.0,1.0,1189.0,0.0,0.0,2314.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,27,1189.0,1.0,1189.0,0.0,0.0,2377.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,28,1189.0,1.0,1189.0,0.0,0.0,2493.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,29,1189.0,1.0,1189.0,0.0,0.0,2565.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,30,1189.0,1.0,1189.0,0.0,0.0,2656.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,31,1189.0,1.0,1189.0,0.0,0.0,2790.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,32,1189.0,1.0,1189.0,0.0,0.0,2853.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,33,1189.0,1.0,1189.0,0.0,0.0,2925.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,34,1189.0,1.0,1189.0,0.0,0.0,3019.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,35,1189.0,1.0,1189.0,0.0,0.0,3123.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,36,1189.0,1.0,1189.0,0.0,0.0,3195.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,37,1189.0,1.0,1189.0,0.0,0.0,3303.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,38,1189.0,1.0,1189.0,0.0,0.0,3393.0,279.0,279.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,39,1189.0,1.0,1189.0,0.0,0.0,3450.0,279.0,279.0,0.0
