run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
0,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4998,7751.0,0.0,6990.5,7000.0,25.0,11216.0,367.0,400.0,760.5,1.0,1.0
1,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4913,9620.0,1.0,8196.0,8692.0,17.0,9416.0,251.0,87.0,1424.0,1.0,1.0
2,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4862,8860.0,1.0,7786.5,8615.0,15.0,9164.0,319.0,303.0,1073.5,1.0,1.0
3,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4808,8960.0,1.0,7461.0,7926.0,19.0,9742.0,422.0,415.0,1499.0,1.0,1.0
4,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4734,7178.0,1.0,6589.5,6950.0,20.0,9465.0,296.0,229.0,588.5,1.0,1.0
5,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4559,9894.0,1.0,8373.5,9380.0,14.0,11728.0,297.0,234.0,1520.5,1.0,1.0
6,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4148,7489.0,1.0,6883.5,0.0,16.0,8118.0,94.0,68.0,605.5,1.0,1.0
7,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4487,9483.0,1.0,7807.5,8795.0,10.0,9570.0,611.0,280.0,1675.5,1.0,1.0
8,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4468,10248.0,0.0,8833.5,0.0,19.0,10020.0,397.0,223.0,1414.5,1.0,1.0
9,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4867,7593.0,1.0,7301.5,7497.0,22.0,10400.0,347.0,225.0,291.5,1.0,1.0
10,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4999,7647.0,1.0,7392.0,7647.0,21.0,10636.0,374.0,241.0,255.0,1.0,1.0
11,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4998,8219.0,1.0,7741.5,8090.0,22.0,9736.0,359.0,406.0,477.5,1.0,1.0
12,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4188,9153.0,1.0,7470.5,8041.0,14.0,7853.0,493.0,401.0,1682.5,1.0,1.0
13,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4831,7696.0,1.0,7893.5,7696.0,18.0,9280.0,502.0,464.0,197.5,1.0,1.0
14,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4723,8389.0,1.0,7967.5,8275.0,15.0,10650.0,307.0,311.0,421.5,1.0,1.0
15,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4995,8631.0,1.0,8050.0,8593.0,20.0,11190.0,328.0,280.0,581.0,1.0,1.0
16,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,250.0,DSA_ASY,0.7,4996,7156.0,1.0,7154.5,7156.0,23.0,9072.0,82.0,69.0,1.5,1.0,1.0
