DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,1,9213.0,0.0,0.0,0.0,0.0,245.0,882.0,0.0,9213.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,2,7622.0,1.0,8054.5,0.0,0.0,706.0,839.0,882.0,432.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,3,7282.0,1.0,7039.0,0.0,0.0,856.0,958.0,777.0,243.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,4,7074.0,0.0,7062.5,0.0,0.0,1520.0,921.0,921.0,11.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,5,7074.0,0.0,7062.5,0.0,0.0,1520.0,921.0,921.0,11.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,6,6990.0,1.0,6900.0,0.0,0.0,1635.0,999.0,830.0,90.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,7,6852.0,1.0,6852.5,0.0,0.0,1985.0,913.0,806.0,0.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,8,6801.0,1.0,6737.5,0.0,0.0,2566.0,748.0,853.0,63.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,9,6876.0,0.0,6635.0,0.0,0.0,2786.0,795.0,748.0,241.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,10,6646.0,1.0,6585.0,0.0,0.0,3250.0,750.0,795.0,61.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,11,6541.0,1.0,6572.0,0.0,0.0,3502.0,745.0,750.0,31.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,12,6473.0,1.0,6507.0,0.0,0.0,3840.0,740.0,745.0,34.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,13,6450.0,1.0,6508.0,0.0,0.0,4144.0,719.0,745.0,58.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,14,6427.0,1.0,6443.0,0.0,0.0,4277.0,747.0,718.0,16.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,15,6396.0,1.0,6411.5,0.0,0.0,4651.0,741.0,747.0,15.5
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,16,6396.0,1.0,6396.0,0.0,0.0,5626.0,741.0,741.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,17,6396.0,1.0,6396.0,0.0,0.0,5700.0,741.0,741.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,18,6396.0,1.0,6396.0,0.0,0.0,5816.0,741.0,741.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,19,6396.0,1.0,6396.0,0.0,0.0,6204.0,741.0,741.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,20,6396.0,1.0,6396.0,0.0,0.0,6840.0,741.0,741.0,0.0
Dense Random Uniform,Perfect Communication,w Timestamp,0.0,0.0,DSA_SY,0.7,21,6396.0,1.0,6396.0,0.0,0.0,6840.0,741.0,741.0,0.0
