DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,0,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,20,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,30,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,40,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,50,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,60,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,70,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,80,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,90,12159.27,1.0,0.0,0.0,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,100,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,110,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,120,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,130,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,140,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,150,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,160,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,170,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,180,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,190,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,200,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,210,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,220,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,230,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,240,10308.02,1.0,9011.77,0.0,0.96,487.64,411.84,348.49,1338.83,1.0,1.0
